label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119
neutral,-612.296,83.993355,0.6158036,18.726772,11.5060625,0.4444436,-5.3044343,-5.1988435,-17.204596,-4.686177,0.9647343,-4.939165,2.7549698,-5.976432,0.45798427,1.0068434,-6.4398193,-3.0229537,-2.181531,-1.5458322,-9.261997,-0.88083565,-3.6864092,-7.0364933,-2.6560674,-1.325467,-7.5292206,0.33973297,-3.350756,0.18116096,-3.1661775,-3.2902467,-4.195569,-2.8427436,-4.9402747,-2.3833215,-1.677237,-2.7161512,-5.3703694,-2.3465114,-0.20913821,1.0121688,-0.41470608,0.101254106,0.18967624,-0.2761083,0.16529289,-0.17769971,0.023633009,-0.09023727,-0.04589371,0.038637727,-0.07927691,-0.002737335,9.1304864e-05,-0.018816007,-0.0062804413,-0.025505293,-0.04719162,0.002971817,0.0068618874,-0.03993095,-0.012532499,0.011887152,-0.046770405,-0.026231956,0.022476442,-0.041381318,0.0035965247,-0.040754955,-0.0042344877,-0.034175456,-0.02188759,0.020778572,0.00726982,0.025292214,0.07291331,0.03873602,0.031533625,0.019594863,0.08002022,0.30764782,-0.1947359,-0.05590293,0.0899598,-0.211351,0.093238875,-0.1728868,0.01639061,-0.1282128,-0.014125796,-0.017373536,-0.080046885,-0.007337797,-0.02958586,-0.015844196,-0.012464442,-0.019850334,-0.008864311,-0.005701874,0.010856818,-0.023660805,-0.018107565,-0.015040766,-0.025515249,-0.020223394,-0.006573986,-0.008111965,-0.025677014,-0.024257557,-0.02400197,-0.017135024,-0.037510507,0.0111480635,-0.015618296,-0.0027699473,0.01700046,0.021580622,-0.00035242946,0.0018134934
neutral,-578.3212,90.58105,-4.632105,24.933687,12.980018,-1.8974068,-3.8298566,-10.289571,-20.8052,-3.5357652,0.18514584,-5.606292,0.56673765,-6.5548196,-1.2086451,-0.20892279,-8.355363,-2.3351974,-3.8360937,0.39971325,-9.575454,-1.837314,-3.6821303,-8.203778,-1.3561465,-3.041168,-8.316579,1.8987848,-4.1186075,0.03066662,-2.6704972,-4.697459,-3.7819238,-4.289761,-5.198995,-1.4675459,-2.2589512,-5.2498555,-5.442564,-3.9229321,-1.5479565,0.8301335,0.7160519,-0.21064712,0.13934095,-0.114702836,0.012289125,-0.009401309,0.044244397,-0.15626639,-0.09724421,0.002507158,-0.05564934,-0.056595597,0.06736753,0.002313266,-0.04837864,0.0007444196,-0.13894568,-0.021582417,-0.044375837,-0.02097562,0.00048412208,0.015532176,-0.0068974406,0.013901526,-0.0050280592,-0.039698508,0.025261186,-0.04314923,-0.006228849,-0.05934042,0.024935648,0.009138929,0.005187316,-0.05514152,0.023110565,0.005165901,0.030820603,0.062271763,-1.1355183,0.12868476,0.40670997,-0.09636064,-0.016360166,-0.044287264,-0.13134697,0.1493492,0.035137072,-0.06511924,-0.0813793,0.022353912,-0.06797191,-0.04141027,0.066272214,-0.007933412,0.047738753,-0.020052763,-0.050461397,0.0013072733,-0.002307152,0.0026559096,0.022231841,0.0038660474,-0.05217989,-0.02327029,-0.026942084,-0.060332045,-0.020790938,-0.07328982,-0.030317867,-0.035295144,0.035230566,0.039099216,0.043454025,-0.0018465387,0.03300031,-0.0032204576,-0.0015656771,0.021470208
neutral,-646.21484,73.024506,-0.959106,16.525986,6.151282,0.91685927,-3.1016579,-7.208747,-13.471416,-4.893452,0.5041604,-3.8732777,2.1199725,-4.6010547,-2.7537067,0.977848,-6.536442,-4.1537266,-0.066416524,-0.03863396,-6.9622097,-1.4160297,-2.5883386,-4.3704805,-1.7313137,-0.44369566,-5.361685,-0.39168227,-2.7864392,-0.36558136,-2.3165298,-2.7559638,-3.113713,-2.4972253,-3.596129,-2.5642254,-1.4075366,-3.4577477,-4.434284,-2.8023884,-0.100341365,-0.026392218,0.08135367,-0.0038455334,-0.07858161,-0.063419834,-0.06847207,-0.09446186,-0.121392325,-0.14585915,-0.1201155,-0.07358371,-0.066140875,-0.07062354,-0.07077999,-0.07367335,-0.05177925,-0.015760615,-0.0046925144,-0.01184677,-0.014025237,0.003065922,0.03252111,0.039205685,0.0214504,0.0077989902,-0.0051018894,-0.018250868,-0.012182743,0.0027561553,0.004654805,-0.0021870255,-0.0032364198,0.007012973,0.012037057,-0.008125501,-0.035213117,-0.03811447,-0.023768704,-0.017195748,0.0029811035,-0.045205012,-0.07484844,-0.019455602,-0.0013079031,-0.025869591,-0.023731364,-0.013934541,0.007916943,0.043092206,0.03480329,0.0034582869,0.00604503,0.022759486,0.03259505,0.03269837,0.007889106,-0.018650873,-0.017668394,-0.0035917116,0.010162949,0.012919929,-0.008462352,-0.030351175,-0.024321372,-0.0007517993,0.01654514,0.013236121,-0.004271067,-0.011964243,-0.0027250587,0.005730287,-0.0049677924,-0.030602345,-0.04004423,-0.019249063,0.004315188,0.007319768,-0.0069396603,-0.021139892
neutral,-548.2038,100.02862,2.6621845,22.854523,10.264238,2.7138994,-4.2771134,-12.918746,-19.730015,-7.880646,-0.06814251,-4.6889143,-0.5589357,-7.0332766,-4.4472485,1.3997263,-9.676337,-4.7910213,-0.79334337,-1.3163228,-9.134231,-3.839047,-2.9753008,-5.339063,-4.078864,-2.3759058,-9.116507,-1.4455601,-4.8743424,0.5894719,-5.023891,-4.8119636,-5.9663005,-5.045186,-5.5723233,-2.6235564,-2.0360217,-4.717355,-6.242031,-6.075743,-0.9507883,-0.079094276,-0.16114649,-0.35074463,-0.2025795,-0.14032689,0.04733969,0.20827447,0.05345973,-0.094463356,0.124230936,0.023307873,0.059967846,-0.15299505,-0.100463204,-0.07666317,-0.026218284,0.093915835,0.140286,0.019285781,0.009211103,0.064156406,-0.013667516,0.08296772,0.0867474,0.01808101,-0.006214946,0.010247093,0.054908536,0.04552223,0.06299747,-0.08826971,0.21437469,-0.05387668,0.053120095,0.0019369423,0.0606824,0.03687132,0.121078834,0.0005296383,-2.5399919,-0.63344043,0.1277793,-0.14679416,0.057150025,0.045901015,0.106865965,0.21722837,0.29925334,0.07251716,0.03793844,-0.010967809,0.041060403,0.073009774,0.08592386,-0.04684034,0.11095645,0.06408562,0.025565304,0.0790626,0.09278539,0.06554808,0.036606494,0.109427825,0.04067509,-0.01846239,0.035114743,0.051360894,0.03919182,-0.035987,-0.020274695,-0.037715886,0.062245913,-0.024816196,0.0726618,0.05528425,0.059679575,0.052571353,0.094237305,0.006501126
calm,-618.3466,98.86325,3.5367377,22.859732,11.784287,1.8841913,-6.386266,-7.0558705,-16.595724,-8.630289,0.8474213,-5.7291665,0.21866338,-5.9049735,-1.2206217,2.0447793,-9.262922,-1.5627732,-2.273426,-2.7360709,-7.707923,-2.246227,-4.5154147,-6.982984,-2.8452075,-1.9473133,-7.8203993,2.1452556,-5.003138,0.8140369,-3.4458942,-2.0131593,-3.1549942,-3.980001,-2.92628,-0.7534423,-2.9704685,-2.8628542,-6.309228,-4.466211,0.24319884,0.031388834,0.08104861,0.16985582,0.21228153,0.13780774,-0.014182546,0.08693065,0.11506893,0.10420224,0.029281827,0.011234798,0.03264393,-0.06674734,-0.09995813,-0.058961853,-0.07651219,-0.016695524,-0.020934712,-0.097786374,-0.14277595,-0.05900768,-0.07914884,-0.0457861,0.012320481,0.008127718,0.0021612907,-0.012225335,0.0070894794,0.0028982714,0.009618805,0.060931757,0.057343654,0.01129361,-0.04228605,-0.05185159,0.004384292,0.03105578,0.030559646,0.0009740195,-1.2901243,0.25583562,0.06767998,-0.14744434,0.09853507,0.09592181,-0.01624516,0.070098095,0.08827704,0.055123184,-0.0997661,-0.03489137,0.03767223,-0.055025373,-0.0025217277,0.055363007,-0.05257916,-0.043039955,-0.054522503,0.012122942,-0.038370654,-0.020688724,-0.028530316,-0.056742296,-0.05629685,-0.0063447193,0.017804189,-0.054162417,0.043670382,0.016053263,-0.0084521305,-0.004698876,0.014563684,-0.0014959392,-0.022203278,0.011138121,0.010720052,-0.032874625,-0.0066828174,-0.025932485
calm,-582.0859,116.0511,3.0748336,18.777544,16.363396,1.2355685,-8.288678,-8.663644,-14.965611,-8.788253,2.7492995,-4.470713,-0.6566027,-6.366133,-3.0405228,1.6767528,-8.865053,-4.029449,-1.6144109,-2.689026,-8.258742,-3.2538059,-4.645552,-7.5955048,-3.8322167,-2.4820254,-7.8387566,0.4453857,-5.102812,0.30338123,-5.9929447,-4.133635,-5.9952216,-6.0255046,-6.6068883,-2.1662128,-3.6911855,-5.3339896,-7.492311,-7.1182466,-0.79795563,0.22091752,-0.05602735,-0.06549665,0.1040289,0.0088673625,-0.055260476,-0.09210667,-0.055033382,0.1056028,-0.22322072,-0.19359854,-0.008623295,-0.08859233,-0.15879923,-0.012283743,-0.14235224,-0.07733773,-0.080504805,-0.09072245,-0.07774254,-0.09734127,-0.08458863,-0.041284908,-0.010955668,0.037817597,-0.0031102381,-0.031923782,-0.07711933,0.09806435,0.0922763,0.023890434,0.076838344,0.08137919,0.030443614,0.013143624,0.04163298,0.0040872972,0.039996732,-0.009786669,-1.7874913,0.16861306,-0.18108681,-0.20350824,0.05676337,-0.053195,-0.05256312,-0.0005175247,0.055641484,0.20329276,-0.062076822,-0.08327521,0.06538685,0.019626858,0.03419456,0.08560577,-0.040438622,-0.008811459,-0.05108912,-0.0046775816,0.01158218,-0.048702884,0.009410008,0.015076567,-0.038304526,0.028795293,0.03769554,-0.012496328,-0.04250171,-0.001190061,-0.028325925,-0.05002947,0.03848592,0.023896696,0.006932219,0.02375503,0.018948542,-0.017150128,0.020801805,0.01430528
calm,-595.3934,98.48751,0.6136,20.01172,8.333095,3.689669,-2.7419844,-7.94719,-13.858436,-7.545257,2.434327,-3.0240486,1.6632379,-7.3659134,1.8131105,-0.2368504,-9.974712,-4.3838215,-0.42687002,-2.9088852,-9.225732,-2.4921653,-3.6892352,-5.129453,-3.7109845,-1.74506,-8.402817,1.2462578,-5.9630837,-0.27817208,-4.894309,-2.7728996,-3.9851499,-4.842097,-6.5190496,-3.1780384,-3.3823667,-3.6006553,-7.32485,-4.444458,0.72285986,0.912967,-0.042932726,0.21934621,-0.03961857,-0.2678692,0.13449433,0.04094315,-0.099097475,-0.109482534,-0.053916078,0.0205014,0.16521905,-0.033862635,0.039939053,-0.048745226,-0.026071843,0.037363924,-0.032950785,-0.17008302,-0.016001802,0.0023812305,0.021160666,-0.06374127,-0.09959896,0.012841302,0.00829381,-0.013183942,-0.01313981,-0.07857182,0.07219568,-0.07862643,0.034724716,-0.06286142,-0.012723023,0.08377262,-0.08467206,-0.01743929,0.038487587,-0.014750805,0.7280203,-0.055410758,-0.20643055,-0.027005576,-0.1019978,-0.04997978,-0.016770259,-0.07108179,-0.034103733,-0.04401896,0.0066711083,-0.014159926,-0.009399217,-0.03273609,0.012640794,-0.024030054,-0.03696798,-0.006720436,0.012970149,-0.032772496,-0.045787435,-0.028466227,-0.0062865005,-0.04116662,-0.030660955,-0.017293204,-0.052097008,0.0062313895,-0.008265776,-0.013089613,-0.00697555,-0.011291307,-0.013815394,-0.020496361,-0.02284652,0.016367968,0.0030473368,-0.0018142046,-0.013091654,-0.0058235973
calm,-605.3343,100.33747,-0.8715786,18.221947,10.386537,1.1515254,-2.68209,-10.130638,-13.109453,-7.787284,0.40444243,-3.6610727,1.3172497,-6.395562,0.0031026602,0.92625815,-9.001333,-3.5989761,-1.4386964,-2.2284262,-10.072559,-2.7629318,-3.9933603,-3.5289743,-4.25578,-1.2861066,-6.791164,0.029254593,-5.9702644,-0.13069983,-5.4131727,-2.7639062,-3.4517183,-3.9978595,-5.3419857,-2.799412,-1.9133464,-3.6027355,-5.248099,-5.042303,0.04992512,0.20238739,0.03995825,0.11627997,-0.028126888,0.040644303,-0.028853053,0.01073564,-0.040284358,-0.020599833,-0.018429013,0.022040045,0.02516749,0.029816074,0.009869032,0.019166123,0.026724435,0.035948846,0.036196917,0.017011235,0.027693,0.0056103957,0.028775945,-0.0024341845,0.024305,-0.020374866,-0.0015465465,-0.04428254,0.005343046,-0.0102373455,0.041232247,0.0012091517,0.027396832,-0.01291789,0.018685704,-0.0050705695,0.0221377,0.0062585194,0.027034817,0.013582681,-0.04915123,-0.11523919,-0.036331914,-0.060834635,-0.0076564294,-0.038898394,-0.0023602096,-0.00044765993,0.0343874,0.031164244,0.031733315,0.016600795,0.017098632,0.01224595,0.017785955,0.012326632,0.010521083,0.006375251,0.0024589973,0.0036328125,-0.006237435,0.0043653203,0.002187401,0.021582717,0.009707575,0.018468412,-0.00023088962,0.010700307,-0.0052844714,0.01019886,-0.005041667,0.0073100664,-0.010870903,0.0049528168,-0.004247848,0.008690391,-0.008498042,-0.0070369625,-0.0197937,-0.010812857
calm,-734.1256,70.53291,4.22518,13.866501,9.276525,1.8420299,-3.7091064,-2.8845074,-6.3325033,-4.483916,2.0064912,-0.029675245,-0.17859086,-3.7752526,0.14778894,0.4342369,-1.8853137,-2.5887423,-0.40041488,1.0377576,-7.0278807,0.0038511276,-2.6830065,-3.9310708,-1.920254,-0.77792233,-3.2663581,1.004213,-3.246114,0.18153046,-3.5314636,-2.8758774,-3.8215022,-2.0913365,-5.3262854,0.48854417,-2.8973765,-2.4300013,-4.8473372,-3.1961992,0.020366479,0.027984714,0.02595273,0.023492897,0.02097565,0.018311799,0.015591872,0.013401711,0.012329524,0.012354052,0.0129498,0.0137197,0.014671743,0.015815312,0.016717616,0.016697576,0.015449768,0.013306731,0.010819912,0.008215373,0.005408573,0.0024847295,-7.448196e-05,-0.0017683208,-0.0025506602,-0.0027498424,-0.0025710464,-0.0019064664,-0.00070445536,0.00069477037,0.0018067599,0.002507472,0.0030777573,0.0037428588,0.0043819873,0.0047819465,0.0049953163,0.005259828,0.005636743,0.005923265,0.04399451,0.06106826,0.058018226,0.053824894,0.04889531,0.043244712,0.037074994,0.031058174,0.025882978,0.021692574,0.018172566,0.015117921,0.012675631,0.01096942,0.009689296,0.008261949,0.0064150468,0.0044152485,0.0026897714,0.0013373658,0.00014989376,-0.0009407997,-0.0016459316,-0.0016512141,-0.0010373846,-0.0001986146,0.00061569514,0.0014768146,0.0024405464,0.0032393292,0.0035007864,0.0031991408,0.0026862354,0.0022639267,0.0019102969,0.0015036494,0.0011421815,0.0010674745,0.0013354846,0.0017384946
calm,-588.0753,104.507454,-1.0396364,18.220022,10.424173,0.50233024,-7.4995446,-9.710464,-12.596358,-7.818051,3.9161375,-2.5616055,-2.0094416,-7.5224524,-0.35366532,-1.5750202,-6.5030317,-3.6866605,-1.3858727,-0.55840427,-10.117676,0.018734338,-3.5790672,-5.847787,-3.8568318,-2.4834113,-7.2261834,0.09856169,-4.3693724,-1.0972654,-6.2773337,-3.8555183,-6.686342,-4.539355,-8.29036,-1.800089,-3.3398244,-3.5347188,-6.9721274,-5.3549485,0.07328414,-0.1549687,0.1949678,0.2236389,0.11291623,0.10081187,0.035277363,0.10613373,0.06366775,0.05417859,-0.097146355,-0.13539912,-0.016170366,-0.054870546,-0.08823094,-0.02241667,0.045909777,0.0052223695,-0.0060996017,-0.016739612,-0.06395233,-0.013931356,-0.07684793,-0.08331939,-0.06249523,-0.06889352,-0.03166401,0.0027733457,-0.049414624,-0.0003784621,-0.009096566,-0.011356342,-0.016771661,-0.033741586,-0.007096239,-0.03580131,-0.062468283,-0.007942068,0.030330615,0.018038804,-0.9192984,0.11885906,0.03755001,-0.11410911,0.08023806,0.08217948,0.04610465,-0.00014510026,0.01649989,0.078186266,-0.05963186,-0.044087347,0.037926555,0.0002191652,0.008369199,0.006285857,-0.013767801,-0.042187754,-0.058992688,0.0070451484,-0.043069325,-0.017500056,-0.0041356846,-1.5571579e-05,-0.022273822,-0.004691651,0.02626325,0.0015553691,0.0005573151,-0.014149583,0.0017667284,-0.0053869104,0.048731916,0.04124453,0.028502094,0.0024768903,-0.018055372,-0.0043011266,0.009343407,-0.00428488
